@relation student_profiles

@attribute profile_id numeric
@attribute education_level numeric
@attribute OL_subject_0_score numeric
@attribute OL_subject_2_score numeric
@attribute OL_subject_3_score numeric
@attribute OL_subject_1_score numeric
@attribute OL_subject_5_score numeric
@attribute OL_subject_4_score numeric
@attribute AL_stream numeric
@attribute AL_subject_6_score numeric
@attribute AL_subject_8_score numeric
@attribute AL_subject_10_score numeric
@attribute AL_subject_4_score numeric
@attribute AL_subject_3_score numeric
@attribute AL_subject_7_score numeric
@attribute AL_subject_0_score numeric
@attribute AL_subject_2_score numeric
@attribute AL_subject_1_score numeric
@attribute AL_subject_9_score numeric
@attribute AL_subject_12_score numeric
@attribute AL_subject_5_score numeric
@attribute AL_subject_11_score numeric
@attribute university_score numeric
@attribute gpa numeric

@data
74,0,17,56,12,93,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,92,11,61,83,77,87,0,0,0,0,0,0,0,3,5,70,0,0,0,0,82,3.09
76,2,78,32,79,1,75,10,0,0,0,0,0,0,0,50,72,35,0,0,0,0,94,3.54
77,1,34,94,32,17,14,47,0,0,0,0,0,0,0,47,36,3,0,0,0,0,0,0
78,0,23,17,18,64,23,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,63,54,77,49,19,61,4,0,0,11,0,0,0,0,0,0,0,27,0,9,0,0
80,2,37,16,39,31,15,79,3,0,25,0,0,0,2,0,0,0,76,0,0,0,77,3.69
81,0,11,95,0,60,80,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,39,22,97,41,51,28,3,0,39,0,0,0,57,0,0,0,76,0,0,0,0,0
83,0,21,14,56,6,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2,93,28,76,26,18,78,2,15,0,0,5,0,0,0,0,0,0,0,55,0,70,4
85,0,36,14,24,61,61,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,56,90,62,16,28,38,2,66,0,0,89,0,0,0,0,0,0,0,14,0,0,0
87,2,82,79,43,68,47,51,3,0,93,0,0,0,36,0,0,0,18,0,0,0,74,2.97
88,0,61,88,1,54,55,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,36,42,7,83,64,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,82,48,82,6,21,81,4,0,0,22,0,0,0,0,0,0,0,39,0,86,83,4
91,0,54,68,24,16,85,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,24,43,75,29,70,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,8,51,12,94,55,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,97,48,76,64,43,80,2,66,0,0,88,0,0,0,0,0,0,0,33,0,0,0
95,0,0,54,76,59,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,89,4,63,63,32,47,1,0,0,0,0,22,0,40,0,38,0,0,0,0,0,0
97,0,78,70,72,65,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,26,93,3,88,98,81,0,0,0,0,0,0,0,16,11,66,0,0,0,0,0,0
99,2,11,5,5,35,8,47,1,0,0,0,0,57,0,16,0,85,0,0,0,0,69,3.62
100,0,61,27,8,89,77,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,13,40,40,69,97,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,36,91,28,8,52,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,93,11,22,14,61,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,4,54,26,61,94,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,76,59,0,87,9,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2,45,34,17,40,73,4,1,0,0,0,0,36,0,33,0,55,0,0,0,0,73,3.16
107,0,73,66,22,23,93,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,84,24,86,19,32,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,65,15,98,23,97,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,98,34,50,65,92,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,85,70,25,76,31,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,19,78,62,40,71,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,53,75,48,18,80,75,1,0,0,0,0,90,0,82,0,86,0,0,0,0,0,0
114,1,63,13,78,3,62,40,1,0,0,0,0,31,0,60,0,8,0,0,0,0,0,0
115,0,81,61,84,92,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,2,75,35,7,72,99,1,0,0,0,0,92,0,4,0,68,0,0,0,0,0,0
117,0,32,18,54,79,62,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2,59,49,92,88,18,58,2,62,0,0,51,0,0,0,0,0,0,0,95,0,84,3.02
119,1,17,90,88,35,68,49,0,0,0,0,0,0,0,33,75,84,0,0,0,0,0,0
120,1,32,63,37,46,46,70,4,0,0,7,0,0,0,0,0,0,0,50,0,33,0,0
121,1,22,94,73,87,77,59,4,0,0,29,0,0,0,0,0,0,0,1,0,37,0,0
122,1,12,22,13,97,46,94,0,0,0,0,0,0,0,95,85,51,0,0,0,0,0,0
123,2,32,53,45,54,56,8,1,0,0,0,0,25,0,54,0,42,0,0,0,0,63,3.23
124,2,79,8,43,74,21,48,2,71,0,0,36,0,0,0,0,0,0,0,5,0,64,3.42
125,1,64,95,10,73,76,88,3,0,15,0,0,0,77,0,0,0,32,0,0,0,0,0
126,2,90,51,91,16,17,5,1,0,0,0,0,76,0,28,0,88,0,0,0,0,99,3.28
127,2,18,89,96,53,31,5,4,0,0,62,0,0,0,0,0,0,0,88,0,23,75,3.2
128,1,88,85,13,16,37,35,3,0,73,0,0,0,18,0,0,0,74,0,0,0,0,0
129,0,79,49,7,26,62,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,68,84,84,16,76,32,3,0,88,0,0,0,83,0,0,0,46,0,0,0,92,3.2
131,0,84,12,83,60,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,19,93,13,81,98,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2,3,6,6,43,65,60,4,0,0,8,0,0,0,0,0,0,0,97,0,12,70,3.62
134,1,40,50,20,58,77,56,1,0,0,0,0,57,0,2,0,89,0,0,0,0,0,0
135,0,66,50,71,77,75,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,6,71,86,87,54,37,1,0,0,0,0,39,0,4,0,44,0,0,0,0,0,0
137,1,51,73,87,11,88,37,2,20,0,0,15,0,0,0,0,0,0,0,41,0,0,0
138,0,36,68,88,93,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,96,78,50,62,13,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1,68,27,62,27,72,85,1,0,0,0,0,27,0,27,0,64,0,0,0,0,0,0
141,0,16,90,96,45,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,46,54,32,66,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,64,47,23,47,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,23,39,16,32,30,82,1,0,0,0,0,26,0,53,0,25,0,0,0,0,0,0
145,2,94,96,80,86,9,95,3,0,91,0,0,0,65,0,0,0,91,0,0,0,76,2.6
146,0,94,97,77,9,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1,60,52,98,84,4,10,3,0,95,0,0,0,70,0,0,0,98,0,0,0,0,0
148,0,77,34,19,36,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,21,57,67,99,86,28,2,25,0,0,91,0,0,0,0,0,0,0,10,0,0,0
150,2,66,9,92,44,68,75,3,0,10,0,0,0,34,0,0,0,84,0,0,0,63,3.68
151,1,70,95,57,66,37,33,3,0,83,0,0,0,58,0,0,0,28,0,0,0,0,0
152,2,91,66,26,2,57,76,3,0,42,0,0,0,77,0,0,0,38,0,0,0,64,3.09
153,1,66,31,78,2,87,24,4,0,0,96,0,0,0,0,0,0,0,12,0,19,0,0
154,2,95,86,58,68,44,64,0,0,0,0,0,0,0,97,15,52,0,0,0,0,86,3.6
155,0,1,96,20,62,25,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1,52,6,95,59,22,51,4,0,0,56,0,0,0,0,0,0,0,86,0,24,0,0
157,1,45,70,65,83,66,22,0,0,0,0,0,0,0,20,79,69,0,0,0,0,0,0
158,1,12,97,91,71,81,16,1,0,0,0,0,2,0,25,0,40,0,0,0,0,0,0
159,0,13,77,74,56,7,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2,73,93,52,56,59,80,1,0,0,0,0,4,0,36,0,62,0,0,0,0,77,3.93
161,0,95,26,95,8,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,91,33,93,98,99,85,1,0,0,0,0,18,0,95,0,21,0,0,0,0,0,0
163,1,12,99,9,9,2,48,0,0,0,0,0,0,0,67,57,48,0,0,0,0,0,0
164,2,80,82,56,63,23,40,2,58,0,0,28,0,0,0,0,0,0,0,24,0,61,3.09
165,2,66,78,76,92,91,74,3,0,97,0,0,0,96,0,0,0,64,0,0,0,69,3.22
166,1,76,43,50,19,54,65,3,0,81,0,0,0,51,0,0,0,57,0,0,0,0,0
167,2,74,47,71,70,99,69,3,0,55,0,0,0,30,0,0,0,4,0,0,0,96,2.97
168,0,56,46,97,11,38,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,23,77,17,51,90,86,0,0,0,0,0,0,0,11,78,92,0,0,0,0,0,0
170,0,74,70,37,19,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1,14,56,13,36,40,28,1,0,0,0,0,51,0,6,0,92,0,0,0,0,0,0
172,0,86,73,20,50,86,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2,63,89,13,31,28,41,2,47,0,0,22,0,0,0,0,0,0,0,20,0,62,3.32
174,1,42,38,24,23,92,63,0,0,0,0,0,0,0,56,76,31,0,0,0,0,0,0
175,1,42,17,81,53,95,22,1,0,0,0,0,29,0,1,0,27,0,0,0,0,0,0
176,0,19,67,98,93,97,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,87,63,56,15,33,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2,47,43,73,18,20,0,1,0,0,0,0,70,0,50,0,94,0,0,0,0,67,3.34
179,2,32,75,69,21,27,9,2,51,0,0,42,0,0,0,0,0,0,0,62,0,80,3.54
180,0,85,10,54,41,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2,28,87,73,98,65,47,2,74,0,0,52,0,0,0,0,0,0,0,73,0,81,2.9
182,2,27,57,81,78,87,6,3,0,26,0,0,0,7,0,0,0,28,0,0,0,60,3.59
183,0,72,91,81,7,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2,98,36,74,89,89,20,4,0,0,7,0,0,0,0,0,0,0,61,0,95,66,2.41
185,2,71,32,21,67,55,67,2,98,0,0,63,0,0,0,0,0,0,0,45,0,72,3.65
186,0,33,59,0,98,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1,23,57,5,66,69,7,2,74,0,0,82,0,0,0,0,0,0,0,80,0,0,0
188,2,60,86,6,70,59,4,2,4,0,0,25,0,0,0,0,0,0,0,37,0,84,3.3
189,1,31,16,28,57,62,16,2,40,0,0,58,0,0,0,0,0,0,0,58,0,0,0
190,1,56,6,62,97,19,42,2,88,0,0,58,0,0,0,0,0,0,0,96,0,0,0
191,2,23,18,30,35,90,72,2,21,0,0,41,0,0,0,0,0,0,0,36,0,93,3.11
192,0,63,91,33,33,95,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2,41,25,84,15,29,88,3,0,83,0,0,0,67,0,0,0,17,0,0,0,92,3.79
194,1,81,95,99,67,12,47,2,94,0,0,84,0,0,0,0,0,0,0,63,0,0,0
195,1,49,15,4,33,47,74,2,5,0,0,87,0,0,0,0,0,0,0,81,0,0,0
196,2,99,1,56,54,84,97,1,0,0,0,0,66,0,51,0,96,0,0,0,0,78,3.14
197,2,6,46,63,19,40,93,1,0,0,0,0,94,0,38,0,64,0,0,0,0,85,2.28
198,1,79,41,3,97,61,47,4,0,0,5,0,0,0,0,0,0,0,69,0,19,0,0
199,0,46,92,23,70,87,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1,81,28,5,45,98,69,3,0,11,0,0,0,90,0,0,0,22,0,0,0,0,0
201,2,23,22,41,14,62,90,1,0,0,0,0,37,0,31,0,89,0,0,0,0,78,4
202,2,60,77,44,43,28,12,2,74,0,0,1,0,0,0,0,0,0,0,45,0,60,3.95
203,1,56,94,87,27,46,17,2,90,0,0,62,0,0,0,0,0,0,0,88,0,0,0
204,2,64,30,93,13,17,81,1,0,0,0,0,65,0,49,0,47,0,0,0,0,98,3.69
205,1,80,58,86,5,88,57,3,0,4,0,0,0,5,0,0,0,45,0,0,0,0,0
206,1,86,98,12,46,30,81,4,0,0,84,0,0,0,0,0,0,0,29,0,14,0,0
207,2,73,82,29,24,67,52,3,0,6,0,0,0,92,0,0,0,49,0,0,0,83,3.46
208,0,75,69,37,71,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,96,95,40,22,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,25,37,51,6,28,30,2,55,0,0,67,0,0,0,0,0,0,0,12,0,0,0
211,1,85,66,93,81,52,81,0,0,0,0,0,0,0,79,3,33,0,0,0,0,0,0
212,1,91,17,83,44,28,60,1,0,0,0,0,0,0,4,0,78,0,0,0,0,0,0
213,2,54,78,28,62,94,23,4,0,0,65,0,0,0,0,0,0,0,10,0,76,97,3.23
214,2,48,15,82,24,89,39,0,0,0,0,0,0,0,89,11,29,0,0,0,0,89,3.19
215,1,84,36,4,85,39,63,2,30,0,0,30,0,0,0,0,0,0,0,4,0,0,0
216,0,91,1,87,63,73,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1,57,92,76,71,94,49,0,0,0,0,0,0,0,67,47,71,0,0,0,0,0,0
218,2,22,6,32,69,74,72,3,0,27,0,0,0,81,0,0,0,58,0,0,0,62,2.8
219,2,84,48,35,79,14,53,4,0,0,4,0,0,0,0,0,0,0,46,0,18,60,2.42
220,1,7,47,25,7,10,68,4,0,0,44,0,0,0,0,0,0,0,99,0,14,0,0
221,0,61,83,66,41,25,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1,28,42,52,34,63,57,3,0,53,0,0,0,89,0,0,0,23,0,0,0,0,0
223,0,95,48,96,91,51,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1,7,88,20,13,72,95,2,44,0,0,70,0,0,0,0,0,0,0,14,0,0,0
225,1,23,2,59,64,46,84,4,0,0,99,0,0,0,0,0,0,0,33,0,54,0,0
226,1,2,47,61,52,31,88,1,0,0,0,0,33,0,96,0,38,0,0,0,0,0,0
227,0,9,56,58,46,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,2,35,61,8,75,35,10,4,0,0,51,0,0,0,0,0,0,0,97,0,48,94,2.8
229,1,92,4,68,77,20,85,4,0,0,5,0,0,0,0,0,0,0,50,0,37,0,0
230,1,61,75,96,59,22,34,2,65,0,0,76,0,0,0,0,0,0,0,84,0,0,0
231,2,52,29,61,34,38,65,1,0,0,0,0,64,0,25,0,17,0,0,0,0,62,3.6
232,0,56,54,15,25,53,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1,55,48,18,75,62,80,0,0,0,0,0,0,0,65,75,16,0,0,0,0,0,0
234,1,74,46,60,84,31,73,2,18,0,0,68,0,0,0,0,0,0,0,39,0,0,0
235,1,72,29,24,94,0,48,1,0,0,0,0,62,0,58,0,64,0,0,0,0,0,0
236,1,63,16,49,88,91,33,2,46,0,0,79,0,0,0,0,0,0,0,57,0,0,0
237,0,11,6,23,27,26,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,1,27,61,73,91,71,85,0,0,0,0,0,0,0,78,44,78,0,0,0,0,0,0
239,2,77,71,69,48,27,65,4,0,0,40,0,0,0,0,0,0,0,22,0,41,76,3.45
240,0,88,91,53,4,24,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,71,11,50,73,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1,83,17,25,17,39,46,1,0,0,0,0,32,0,55,0,4,0,0,0,0,0,0
243,0,62,35,12,18,99,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,2,76,19,67,41,73,63,0,0,0,0,0,0,0,95,2,56,0,0,0,0,68,4
245,2,61,27,48,8,74,84,4,0,0,66,0,0,0,0,0,0,0,35,0,30,93,3.24
246,0,50,29,50,86,23,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1,39,97,0,20,51,87,1,0,0,0,0,91,0,43,0,53,0,0,0,0,0,0
248,2,26,97,43,26,26,35,4,0,0,75,0,0,0,0,0,0,0,23,0,64,98,3.2
249,2,81,22,63,54,44,98,3,0,54,0,0,0,10,0,0,0,76,0,0,0,82,2.87
250,0,77,16,71,69,62,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2,2,96,65,15,4,80,3,0,58,0,0,0,86,0,0,0,6,0,0,0,93,3.52
252,2,88,88,54,79,95,70,1,0,0,0,0,12,0,63,0,30,0,0,0,0,72,3.35
253,0,4,76,37,65,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1,49,50,36,53,50,43,0,0,0,0,0,0,0,90,81,1,0,0,0,0,0,0
255,1,73,36,5,48,78,10,3,0,69,0,0,0,35,0,0,0,51,0,0,0,0,0
256,0,90,46,35,40,36,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,4,72,21,61,70,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,22,77,84,33,49,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2,11,42,84,43,29,80,0,0,0,0,0,0,0,30,37,13,0,0,0,0,80,3.85
260,1,15,85,86,30,60,70,0,0,0,0,0,0,0,67,42,8,0,0,0,0,0,0
261,1,97,87,32,78,2,74,4,0,0,42,0,0,0,0,0,0,0,17,0,16,0,0
262,2,97,58,96,36,60,71,2,82,0,0,82,0,0,0,0,0,0,0,32,0,83,2.25
263,2,57,97,17,45,64,98,2,75,0,0,73,0,0,0,0,0,0,0,31,0,73,2.94
264,2,71,62,69,54,31,12,3,0,5,0,0,0,41,0,0,0,98,0,0,0,60,3.5
265,0,24,90,88,50,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0,57,11,52,90,69,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2,81,28,88,96,17,45,2,34,0,0,42,0,0,0,0,0,0,0,89,0,69,3.11
268,2,98,29,53,26,34,78,1,0,0,0,0,6,0,32,0,52,0,0,0,0,84,2.84
269,2,96,10,40,48,50,51,3,0,73,0,0,0,29,0,0,0,90,0,0,0,93,3.38
270,2,0,24,86,19,71,6,2,81,0,0,97,0,0,0,0,0,0,0,65,0,77,3.15
271,0,41,48,79,3,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,2,85,42,89,18,36,32,1,0,0,0,0,93,0,41,0,20,0,0,0,0,68,3.82
