profile_id,education_level,OL_subject_0_score,OL_subject_1_score,OL_subject_2_score,OL_subject_3_score,AL_stream,AL_subject_0_score,AL_subject_1_score,AL_subject_2_score,university_score,gpa
52,0,46,48,22,66,,,,,,
53,1,16,20,6,63,2,,,,,
54,0,39,13,60,1,,,,,,
55,0,32,18,67,95,,,,,,
56,1,88,48,47,69,3,,,,,
57,1,43,35,37,11,2,,,,,
58,0,24,3,55,60,,,,,,
59,2,87,87,87,35,1,47,89,,91,3.07
60,2,82,99,65,7,0,42,70,61,93,2.76
61,2,81,67,3,96,2,,,,65,2.8
62,1,68,69,58,59,1,75,68,,,
63,0,28,21,96,12,,,,,,
64,1,50,87,28,36,4,,,,,
65,0,77,95,87,53,,,,,,
66,2,87,76,12,3,3,,,,70,3.03
67,0,12,76,35,33,,,,,,
68,0,70,84,46,95,,,,,,
69,2,2,7,26,31,1,40,53,,69,3.58
70,0,88,0,63,97,,,,,,
71,1,61,13,33,4,3,,,,,
72,1,55,52,30,54,1,25,16,,,
73,0,17,3,50,32,,,,,,
74,0,53,85,70,72,,,,,,
75,2,95,11,59,78,1,89,91,,67,3.73
76,2,56,24,27,5,0,52,36,28,68,3.49
77,0,84,78,58,97,,,,,,
78,0,60,14,58,62,,,,,,
79,0,24,89,44,97,,,,,,
80,2,69,57,27,0,2,,,,72,3.08
81,0,6,45,0,13,,,,,,
82,0,53,39,73,56,,,,,,
83,1,48,95,49,36,2,,,,,
84,1,67,66,52,9,1,90,58,,,
85,0,42,94,71,2,,,,,,
86,1,91,3,66,79,0,4,99,55,,
87,0,58,54,51,0,,,,,,
88,0,74,53,39,73,,,,,,
89,1,74,60,34,40,1,94,69,,,
90,1,51,80,65,1,4,,,,,
91,0,6,18,80,74,,,,,,
92,1,14,40,76,28,4,,,,,
93,1,15,98,83,74,0,42,19,34,,
94,1,95,74,35,84,4,,,,,
95,0,14,81,52,66,,,,,,
96,2,44,58,74,74,2,,,,69,3.56
97,0,72,21,98,31,,,,,,
98,0,67,67,64,29,,,,,,
99,1,74,14,48,68,3,,,,,
100,0,12,85,77,82,,,,,,
101,1,26,7,63,3,3,,,,,
102,1,94,6,27,53,2,,,,,
103,0,65,14,7,68,,,,,,
104,0,29,93,22,95,,,,,,
105,1,9,26,0,66,0,26,61,25,,
106,1,79,84,63,73,4,,,,,
107,1,91,82,73,88,1,33,81,,,
108,0,98,33,42,56,,,,,,
109,1,83,45,87,5,0,21,84,70,,
110,0,31,66,2,90,,,,,,
111,1,76,28,58,48,4,,,,,
112,0,68,74,60,74,,,,,,
113,2,17,61,91,17,2,,,,81,3.4
114,1,12,23,23,84,4,,,,,
115,1,96,21,13,47,4,,,,,
116,2,89,84,87,18,4,,,,78,3.31
117,0,21,12,31,14,,,,,,
118,1,59,81,25,25,2,,,,,
119,0,12,25,18,4,,,,,,
120,1,79,82,40,89,4,,,,,
121,1,62,45,5,0,2,,,,,
122,1,9,12,85,88,0,57,93,29,,
123,2,57,18,42,68,2,,,,91,2.99
124,0,82,20,16,15,,,,,,
125,1,95,97,89,77,0,23,45,77,,
126,2,48,51,67,49,4,,,,81,3.1
127,0,48,84,98,41,,,,,,
128,1,0,4,21,72,3,,,,,
129,1,85,1,12,95,2,,,,,
130,0,28,40,49,15,,,,,,
131,2,69,73,82,14,0,66,8,89,72,2.47
132,1,29,85,78,79,2,,,,,
133,0,23,63,2,16,,,,,,
134,1,55,42,99,63,0,84,87,7,,
135,1,65,63,83,72,1,27,33,,,
136,2,63,55,24,25,0,72,29,41,80,3.25
137,1,35,34,19,86,3,,,,,
138,0,1,63,26,23,,,,,,
139,0,58,67,27,77,,,,,,
140,1,5,28,94,76,3,,,,,
141,2,97,61,72,9,0,33,47,38,72,4.0
142,2,91,55,73,19,2,,,,90,3.14
143,1,71,4,13,74,2,,,,,
144,2,93,62,54,72,2,,,,92,2.82
145,1,94,17,56,34,4,,,,,
146,2,11,23,0,56,4,,,,79,3.4
147,1,18,35,13,37,1,82,23,,,
148,0,86,57,64,36,,,,,,
149,1,6,36,78,20,2,,,,,
150,0,5,60,93,86,,,,,,
151,1,40,79,17,54,3,,,,,
152,0,94,73,47,27,,,,,,
153,2,18,5,21,68,3,,,,88,2.6
154,0,20,90,21,52,,,,,,
155,2,7,10,84,62,3,,,,62,3.53
156,1,67,24,21,7,3,,,,,
157,2,69,70,53,59,1,70,37,,98,2.83
158,1,25,46,24,22,4,,,,,
159,2,60,6,71,57,3,,,,61,3.02
160,0,10,62,17,66,,,,,,
161,0,48,45,5,17,,,,,,
162,2,29,98,92,77,0,64,33,55,70,3.24
163,2,40,59,25,61,2,,,,66,2.73
164,1,47,3,49,40,2,,,,,
165,1,19,34,38,94,2,,,,,
166,1,20,80,84,83,1,51,50,,,
167,1,66,86,32,33,2,,,,,
168,2,40,35,64,47,0,24,60,2,94,3.23
169,2,56,2,11,98,0,42,2,63,91,3.79
170,0,20,84,70,89,,,,,,
171,0,42,15,49,96,,,,,,
172,1,2,53,64,0,1,77,71,,,
173,0,19,16,2,1,,,,,,
174,1,13,11,86,5,4,,,,,
175,0,39,64,68,91,,,,,,
176,0,7,16,25,73,,,,,,
177,1,71,42,51,60,3,,,,,
178,0,80,47,27,20,,,,,,
179,2,55,47,26,41,2,,,,79,4.0
180,0,84,44,22,46,,,,,,
181,0,11,28,43,78,,,,,,
182,1,36,92,8,89,3,,,,,
183,2,98,34,47,69,4,,,,97,3.26
184,1,90,87,5,31,3,,,,,
185,1,72,83,65,14,2,,,,,
186,2,34,74,35,25,0,83,86,63,95,3.1
187,2,88,28,41,57,3,,,,83,2.92
188,0,60,43,86,74,,,,,,
189,2,15,52,91,0,1,81,25,,81,3.73
190,1,30,69,37,26,4,,,,,
191,1,80,8,4,7,1,0,49,,,
192,0,71,20,76,64,,,,,,
193,2,27,75,47,1,3,,,,77,2.6
194,0,4,42,16,76,,,,,,
195,0,40,46,7,20,,,,,,
196,1,13,45,74,73,2,,,,,
197,0,78,73,74,33,,,,,,
198,2,88,95,72,60,3,,,,79,3.18
199,0,5,90,89,91,,,,,,
200,2,37,53,58,9,1,64,91,,94,2.74
201,1,49,62,29,55,3,,,,,
202,0,73,27,97,73,,,,,,
203,0,43,37,70,9,,,,,,
204,1,86,63,80,15,4,,,,,
205,1,28,16,91,52,2,,,,,
206,2,38,99,16,10,0,28,8,54,73,3.68
207,2,45,29,7,32,1,53,73,,81,3.81
208,2,0,79,19,54,1,76,39,,91,3.32
209,1,45,83,33,69,1,50,71,,,
210,0,13,89,56,88,,,,,,
211,1,46,46,59,28,4,,,,,
212,1,49,89,13,25,3,,,,,
213,1,93,0,35,84,0,72,33,85,,
214,2,84,27,53,75,1,89,78,,98,3.7
215,1,3,85,12,87,3,,,,,
216,0,67,78,5,48,,,,,,
217,1,7,79,20,79,3,,,,,
218,1,45,20,67,25,1,2,29,,,
219,2,50,0,63,58,1,32,75,,91,3.75
220,1,28,38,61,55,3,,,,,
221,1,78,42,49,97,4,,,,,
222,2,19,7,77,65,4,,,,95,3.61
223,0,21,97,23,75,,,,,,
224,2,21,5,52,68,4,,,,97,3.57
225,2,45,88,82,83,3,,,,92,2.71
226,1,40,50,98,57,2,,,,,
227,2,50,73,18,14,0,76,7,86,85,2.75
228,0,59,97,89,6,,,,,,
229,2,61,37,44,41,3,,,,73,2.4
230,1,49,57,40,58,3,,,,,
231,0,62,7,63,37,,,,,,
232,1,98,49,58,16,1,69,79,,,
233,0,77,61,10,16,,,,,,
234,0,27,10,8,64,,,,,,
235,0,72,97,98,86,,,,,,
236,2,86,94,74,77,1,97,25,,92,3.08
237,2,43,50,50,21,0,38,41,15,94,3.41
238,0,54,71,28,0,,,,,,
239,0,35,96,42,18,,,,,,
240,1,54,62,23,52,2,,,,,
241,1,82,36,74,60,1,89,21,,,
242,0,6,21,21,71,,,,,,
243,2,5,96,70,14,1,95,80,,89,4.0
244,2,3,47,65,84,1,82,74,,65,3.04
245,2,68,50,20,8,0,30,79,36,95,2.58
246,1,51,88,37,55,3,,,,,
247,1,68,33,77,42,3,,,,,
248,0,12,82,26,85,,,,,,
249,0,3,79,1,9,,,,,,
250,0,91,7,26,2,,,,,,
251,2,45,69,28,1,4,,,,80,3.64
252,1,42,0,82,18,1,27,66,,,
253,1,13,7,14,44,2,,,,,
254,2,80,16,16,81,1,26,31,,65,2.83
255,0,26,30,38,86,,,,,,
256,0,41,61,42,3,,,,,,
257,2,61,37,97,54,2,,,,79,3.16
258,2,8,22,86,82,1,64,46,,88,3.33
259,0,42,85,55,52,,,,,,
260,1,88,69,17,83,2,,,,,
261,1,99,30,82,25,2,,,,,
262,0,69,53,26,4,,,,,,
263,1,64,2,68,84,0,55,84,52,,
264,1,87,32,62,27,0,77,26,34,,
265,0,51,23,23,14,,,,,,
266,2,73,3,28,20,2,,,,81,3.07
267,0,96,72,78,79,,,,,,
268,1,27,96,10,8,4,,,,,
269,0,48,83,40,10,,,,,,
270,2,34,8,64,43,0,94,73,46,86,3.23
271,1,61,97,80,95,1,31,92,,,
272,1,35,34,30,63,3,,,,,
273,1,57,99,83,1,1,64,51,,,
274,1,62,26,29,40,1,17,55,,,
275,1,20,68,90,23,2,,,,,
276,0,41,38,8,94,,,,,,
277,1,75,92,37,44,4,,,,,
278,1,44,50,46,71,4,,,,,
279,1,46,62,57,40,1,98,36,,,
280,2,70,56,33,70,4,,,,87,3.74
281,0,79,21,58,26,,,,,,
282,0,46,77,14,69,,,,,,
283,0,61,67,60,75,,,,,,
284,1,23,10,52,59,2,,,,,
285,0,40,47,90,36,,,,,,
286,1,35,87,34,36,3,,,,,
287,0,76,40,48,8,,,,,,
288,1,11,92,56,65,0,99,1,45,,
289,2,14,59,34,70,0,91,62,99,67,3.09
290,2,66,39,75,79,3,,,,83,3.49
291,0,60,57,60,69,,,,,,
292,0,45,57,78,9,,,,,,
293,0,44,0,96,4,,,,,,
294,1,25,1,2,68,3,,,,,
295,0,79,94,49,62,,,,,,
296,2,14,38,35,92,0,34,71,78,83,3.43
297,2,5,18,99,43,4,,,,67,3.4
298,2,0,40,74,73,2,,,,67,2.88
299,0,82,28,0,42,,,,,,
300,0,77,36,13,74,,,,,,
301,2,50,96,66,30,1,72,90,,69,3.4
302,0,91,42,64,81,,,,,,
303,2,77,45,85,10,2,,,,92,3.84
304,0,46,45,19,6,,,,,,
305,0,70,11,97,68,,,,,,
306,0,56,0,24,92,,,,,,
307,1,20,92,59,61,0,50,60,30,,
308,2,94,99,85,49,3,,,,97,3.32
309,1,78,57,70,89,1,31,38,,,
310,2,8,9,54,82,3,,,,60,4.0
311,1,33,83,59,94,2,,,,,
312,1,40,63,61,68,0,37,77,28,,
313,2,60,52,15,54,4,,,,67,3.52
314,2,68,8,75,67,3,,,,71,3.57
315,2,29,38,31,64,2,,,,93,3.32
316,1,44,34,28,32,4,,,,,
317,0,20,90,88,62,,,,,,
318,1,22,3,45,50,2,,,,,
319,1,89,71,15,32,4,,,,,
320,2,31,78,61,85,4,,,,97,3.43
321,0,38,6,89,14,,,,,,
322,0,80,69,99,59,,,,,,
323,2,59,96,69,69,4,,,,75,3.26
324,2,5,63,83,6,1,19,88,,79,3.55
325,1,58,25,70,41,1,12,61,,,
326,2,6,41,88,39,0,59,82,79,73,2.93
327,1,35,68,58,36,2,,,,,
328,1,6,40,64,74,0,65,24,36,,
329,0,25,42,54,83,,,,,,
330,0,66,70,94,86,,,,,,
331,0,10,99,40,4,,,,,,
332,0,11,56,25,23,,,,,,
333,1,14,23,37,79,1,3,1,,,
334,2,60,31,62,90,1,26,38,,70,3.8
335,2,13,64,55,96,4,,,,83,3.46
336,1,20,65,26,72,3,,,,,
337,0,10,89,50,35,,,,,,
338,0,55,15,97,12,,,,,,
339,2,48,44,87,57,1,4,35,,67,2.99
340,0,71,27,81,40,,,,,,
341,0,20,76,15,32,,,,,,
342,0,0,66,80,88,,,,,,
343,2,21,67,12,66,4,,,,73,2.84
344,2,27,48,31,78,1,73,9,,78,2.88
345,0,12,80,14,61,,,,,,
346,0,48,50,0,33,,,,,,
347,2,44,39,12,70,2,,,,72,3.08
348,0,6,44,42,24,,,,,,
349,1,59,71,95,32,2,,,,,
350,2,83,27,74,6,4,,,,71,2.5
351,2,21,47,20,66,0,48,69,61,75,3.17
352,1,86,94,7,73,4,,,,,
353,2,36,51,50,18,1,94,66,,91,3.49
354,0,48,64,16,98,,,,,,
355,0,41,61,89,8,,,,,,
356,1,89,21,4,76,0,91,63,6,,
357,2,98,16,72,20,2,,,,83,2.98
358,0,61,76,45,0,,,,,,
359,0,99,62,28,49,,,,,,
360,0,5,93,92,38,,,,,,
361,2,82,76,13,15,4,,,,96,3.37
362,0,55,90,75,95,,,,,,
363,0,68,82,52,80,,,,,,
364,1,81,98,15,78,4,,,,,
365,0,63,86,19,43,,,,,,
366,2,56,8,28,67,2,,,,92,3.86
367,2,20,56,40,83,1,62,81,,81,2.78
368,0,19,23,33,16,,,,,,
369,1,6,7,62,87,0,15,82,31,,
370,1,44,66,93,50,0,69,57,8,,
371,1,21,87,22,35,2,,,,,
372,2,2,26,18,67,2,,,,62,2.73
373,1,70,3,2,56,0,95,27,6,,
374,1,56,44,58,44,3,,,,,
375,2,42,19,14,61,0,66,41,58,73,2.73
376,0,64,96,0,55,,,,,,
377,2,41,8,34,35,2,,,,73,3.44
378,1,85,71,54,16,2,,,,,
379,0,23,38,40,93,,,,,,
380,1,33,79,78,23,4,,,,,
381,2,36,86,97,82,0,36,45,0,61,4.0
382,1,84,25,65,44,4,,,,,
383,1,30,25,39,13,1,92,89,,,
384,0,19,24,27,66,,,,,,
385,0,82,23,57,68,,,,,,
386,1,41,98,87,8,3,,,,,
387,1,81,85,70,64,1,5,68,,,
388,0,99,15,99,80,,,,,,
389,1,93,32,86,74,3,,,,,
390,1,29,72,99,20,2,,,,,
391,0,33,60,19,51,,,,,,
392,2,14,56,64,90,3,,,,61,3.31
393,0,3,15,70,46,,,,,,
394,2,25,54,91,89,3,,,,95,3.17
395,0,17,50,38,28,,,,,,
396,0,24,75,14,87,,,,,,
397,1,15,77,15,7,1,41,42,,,
398,1,55,38,52,18,2,,,,,
399,2,0,68,67,1,0,58,12,48,71,3.39
400,2,26,36,68,25,0,61,8,53,87,3.11
401,2,94,98,67,16,3,,,,82,2.64
402,1,99,67,76,89,2,,,,,
403,2,41,14,5,78,2,,,,64,3.15
404,0,91,70,54,20,,,,,,
405,0,27,27,59,21,,,,,,
406,2,75,86,99,11,1,61,90,,86,3.42
407,2,50,24,74,43,4,,,,87,2.78
408,0,18,26,66,89,,,,,,
409,2,46,28,0,77,4,,,,89,2.8
410,2,55,54,7,91,2,,,,65,2.63
411,2,88,91,59,99,1,40,26,,74,3.33
412,1,18,10,75,54,1,14,80,,,
413,0,66,9,91,79,,,,,,
414,0,40,94,5,0,,,,,,
415,1,15,86,15,87,1,85,42,,,
416,1,86,80,47,35,1,25,49,,,
417,2,12,60,96,9,3,,,,82,3.04
418,1,5,64,54,10,0,35,26,43,,
419,1,10,69,90,9,4,,,,,
420,0,16,67,54,98,,,,,,
421,1,70,7,58,60,2,,,,,
422,2,79,25,25,94,0,48,94,30,85,4.0
423,1,82,21,79,67,3,,,,,
424,0,44,51,95,19,,,,,,
425,2,76,37,55,86,0,80,61,11,64,3.2
426,2,13,88,20,72,4,,,,91,3.35
427,2,94,26,59,96,1,19,66,,76,2.96
428,0,12,15,38,97,,,,,,
429,0,60,58,75,30,,,,,,
430,1,45,79,78,79,2,,,,,
431,1,1,39,57,90,3,,,,,
432,2,72,60,12,70,2,,,,92,2.99
433,0,43,26,91,48,,,,,,
434,1,96,49,18,9,3,,,,,
435,2,6,83,83,95,2,,,,88,3.54
436,2,11,12,81,19,3,,,,69,3.44
437,0,87,82,82,84,,,,,,
438,2,46,54,9,77,2,,,,65,4.0
439,2,9,14,74,98,2,,,,80,3.24
440,2,19,41,41,3,0,74,95,66,77,3.37
441,2,57,13,45,55,4,,,,74,2.98
442,1,81,34,86,50,0,80,26,32,,
443,0,79,95,84,83,,,,,,
444,0,98,92,70,82,,,,,,
445,2,69,51,73,1,2,,,,66,3.04
446,1,78,99,0,34,0,4,41,2,,
447,2,64,3,11,46,0,26,68,13,78,2.34
448,0,84,75,55,48,,,,,,
449,1,32,50,40,7,4,,,,,
450,0,21,29,5,47,,,,,,
451,0,60,99,42,77,,,,,,
452,2,49,52,3,21,1,53,88,,99,3.54
453,0,32,79,28,80,,,,,,
454,1,29,1,52,57,1,82,81,,,
455,1,60,31,88,56,4,,,,,
456,1,71,42,25,74,4,,,,,
457,0,90,0,92,66,,,,,,
458,1,39,48,0,14,2,,,,,
459,0,26,74,83,27,,,,,,
460,2,64,67,4,28,2,,,,85,3.35
461,0,75,66,42,84,,,,,,
462,1,10,28,84,76,1,11,1,,,
463,1,90,0,54,81,1,83,34,,,
464,1,49,7,25,59,3,,,,,
465,0,11,75,14,68,,,,,,
466,2,96,63,75,93,4,,,,97,3.82
467,0,0,88,74,27,,,,,,
468,0,8,1,22,77,,,,,,
469,0,16,89,16,87,,,,,,
470,1,56,95,67,75,2,,,,,
471,0,11,15,58,21,,,,,,
472,0,45,27,38,6,,,,,,
473,0,83,15,28,70,,,,,,
474,0,54,27,55,95,,,,,,
475,2,84,29,39,53,3,,,,92,2.76
476,2,98,46,27,69,2,,,,75,3.52
477,0,12,29,22,11,,,,,,
478,2,41,25,25,26,1,30,10,,60,2.72
479,1,7,93,94,90,0,22,77,65,,
480,0,32,93,56,34,,,,,,
481,1,15,71,82,30,4,,,,,
482,2,87,3,48,6,1,81,80,,99,3.04
483,2,56,98,78,85,2,,,,70,3.4
484,2,54,77,47,54,2,,,,99,2.96
485,2,42,10,29,79,1,55,45,,86,3.57
486,2,36,61,49,62,1,55,58,,82,2.88
487,2,71,31,14,38,2,,,,66,3.14
488,0,40,65,60,80,,,,,,
489,1,71,20,57,71,1,96,48,,,
490,2,50,93,0,77,1,32,0,,65,2.85
491,1,55,9,16,20,2,,,,,
492,1,55,53,2,82,0,70,30,48,,
493,2,63,84,32,42,0,35,78,0,73,3.83
494,2,46,65,67,6,4,,,,97,3.35
495,2,97,20,75,0,1,98,6,,70,3.06
496,0,39,89,19,18,,,,,,
497,1,61,71,9,85,2,,,,,
498,1,73,70,49,93,3,,,,,
499,2,39,36,23,18,2,,,,74,2.93
500,1,98,51,7,64,1,36,27,,,
501,0,73,14,24,92,,,,,,
502,0,4,96,23,41,,,,,,
503,2,73,49,46,55,3,,,,84,3.64
504,1,18,28,45,67,2,,,,,
505,1,46,54,53,39,4,,,,,
506,1,90,26,2,64,1,14,21,,,
507,0,53,4,70,43,,,,,,
508,0,51,70,61,47,,,,,,
509,0,60,19,35,19,,,,,,
510,2,37,55,11,33,0,6,46,7,69,2.22
511,1,91,34,16,26,3,,,,,
512,1,2,89,49,57,4,,,,,
513,0,75,58,91,26,,,,,,
514,1,4,6,66,17,3,,,,,
515,1,86,2,40,96,1,77,86,,,
516,1,54,79,73,63,2,,,,,
517,0,86,39,88,18,,,,,,
518,1,5,60,91,52,3,,,,,
519,0,13,73,47,78,,,,,,
520,2,27,92,15,42,4,,,,78,2.16
521,2,59,30,76,62,0,72,0,83,88,3.53
522,0,96,15,78,34,,,,,,
523,0,91,68,24,59,,,,,,
524,1,52,98,47,68,1,87,6,,,
525,2,7,93,15,32,2,,,,72,3.29
526,0,71,69,39,29,,,,,,
527,2,71,88,21,29,4,,,,76,3.74
528,2,11,26,88,56,2,,,,98,3.46
529,1,49,26,73,57,3,,,,,
530,1,41,82,77,19,3,,,,,
531,0,41,34,63,94,,,,,,
532,0,16,31,0,26,,,,,,
533,1,7,11,42,73,4,,,,,
534,0,52,56,41,83,,,,,,
535,2,35,85,74,84,4,,,,60,2.79
536,0,53,64,17,74,,,,,,
537,2,69,32,55,48,2,,,,65,3.28
538,1,98,32,61,20,1,48,17,,,
539,0,18,81,17,93,,,,,,
540,1,22,78,51,52,1,49,93,,,
541,0,52,36,5,32,,,,,,
542,1,52,80,0,3,4,,,,,
543,2,12,77,26,91,3,,,,80,3.06
544,0,42,70,80,98,,,,,,
545,0,59,85,30,52,,,,,,
546,1,28,8,52,37,0,87,98,5,,
547,1,90,48,52,26,1,45,91,,,
548,1,90,28,44,5,1,81,98,,,
549,0,34,91,8,10,,,,,,
550,1,6,75,92,34,1,98,15,,,
551,2,40,75,45,90,3,,,,80,3.57
552,0,20,24,92,37,,,,,,
553,0,74,80,7,41,,,,,,
554,1,33,25,90,84,1,9,33,,,
555,0,97,33,19,60,,,,,,
556,2,63,40,12,58,0,50,18,29,68,3.67
557,0,87,98,29,10,,,,,,
558,0,64,61,69,60,,,,,,
559,1,31,74,30,87,0,9,7,38,,
560,2,1,70,96,54,3,,,,63,3.41
561,1,87,42,89,39,2,,,,,
562,0,23,10,68,61,,,,,,
563,0,15,12,14,5,,,,,,
564,0,2,24,22,41,,,,,,
565,1,64,80,91,49,2,,,,,
566,2,88,55,4,32,2,,,,64,3.19
567,2,45,66,52,21,4,,,,88,3.27
568,2,37,75,17,42,4,,,,90,2.69
569,2,32,67,80,78,2,,,,75,2.88
570,1,86,54,34,71,0,33,28,50,,
571,0,9,47,95,97,,,,,,
572,0,78,15,18,32,,,,,,
573,1,91,18,44,32,3,,,,,
574,0,90,30,6,62,,,,,,
575,2,76,37,46,73,0,23,96,79,93,2.73
576,2,55,36,50,21,3,,,,99,3.11
577,1,91,80,1,47,3,,,,,
578,1,85,95,9,58,4,,,,,
579,2,3,79,95,32,0,82,61,41,67,2.99
580,0,96,47,69,97,,,,,,
581,2,34,65,57,45,2,,,,87,3.43
582,1,42,50,53,95,2,,,,,
583,2,2,95,60,33,3,,,,69,2.84
584,2,43,35,47,10,0,6,77,45,92,3.22
585,0,94,18,34,88,,,,,,
586,0,23,85,14,51,,,,,,
587,0,40,45,37,13,,,,,,
588,2,78,51,10,78,4,,,,68,3.21
589,2,65,78,33,62,0,66,85,61,94,3.38
590,0,91,60,51,44,,,,,,
591,1,97,3,74,55,0,37,46,16,,
592,1,40,38,90,63,1,23,97,,,
593,0,88,28,3,51,,,,,,
594,2,46,50,12,66,3,,,,86,3.27
595,2,31,0,12,32,1,8,10,,70,2.83
596,2,99,62,65,9,3,,,,87,3.71
597,0,78,77,93,81,,,,,,
598,1,2,97,68,82,2,,,,,
599,0,93,17,63,60,,,,,,
600,2,62,53,50,6,3,,,,66,3.26
601,2,42,4,4,93,2,,,,89,3.66
602,0,70,24,27,7,,,,,,
603,0,29,12,86,78,,,,,,
604,1,77,12,15,87,4,,,,,
605,2,38,73,96,4,2,,,,67,3.03
606,0,92,23,69,89,,,,,,
607,0,45,60,90,3,,,,,,
608,1,75,49,10,54,4,,,,,
609,0,72,8,60,82,,,,,,
610,2,82,29,91,14,3,,,,76,3.46
611,1,10,4,65,46,0,6,13,92,,
612,1,24,44,95,6,1,41,2,,,
613,0,62,86,16,81,,,,,,
614,2,24,50,49,93,1,75,90,,92,3.29
615,2,25,48,14,52,0,1,57,6,66,2.32
616,2,74,20,58,40,0,36,48,65,66,3.44
617,2,24,9,95,96,4,,,,61,2.49
618,1,61,51,50,33,2,,,,,
619,1,75,55,29,84,2,,,,,
620,2,28,96,55,93,4,,,,91,3.48
621,2,67,64,22,5,0,80,79,43,76,3.04
622,0,27,40,14,35,,,,,,
623,1,39,63,3,46,4,,,,,
624,2,59,69,8,0,2,,,,99,2.9
625,1,95,90,62,52,0,52,38,20,,
626,2,85,46,17,64,4,,,,80,3.87
627,0,90,11,62,37,,,,,,
628,0,50,38,81,83,,,,,,
629,2,74,3,68,19,3,,,,72,3.2
630,1,42,69,5,6,2,,,,,
631,2,92,99,92,74,1,18,13,,69,3.79
632,2,63,43,73,65,4,,,,62,2.49
633,2,53,32,88,46,2,,,,67,3.24
634,0,77,69,22,25,,,,,,
635,1,23,51,32,63,1,63,12,,,
636,2,68,96,15,9,1,74,58,,92,3.18
637,1,19,34,29,47,3,,,,,
638,2,35,83,30,85,4,,,,91,2.83
639,2,9,75,0,49,4,,,,61,3.2
640,1,84,83,90,89,1,2,65,,,
641,2,26,7,32,17,3,,,,80,2.7
642,2,84,33,78,40,2,,,,84,3.68
643,0,0,49,14,60,,,,,,
644,1,41,43,2,38,1,54,25,,,
645,2,33,63,99,29,1,45,75,,72,2.68
646,1,64,18,28,68,1,95,41,,,
647,0,78,56,55,46,,,,,,
648,1,7,24,28,14,4,,,,,
649,2,15,74,87,54,4,,,,99,3.34
650,0,56,61,51,42,,,,,,
651,2,78,38,58,24,2,,,,75,3.26
652,0,22,25,73,87,,,,,,
653,1,8,34,64,20,4,,,,,
654,1,94,78,82,28,0,55,76,43,,
655,1,34,16,6,21,1,56,64,,,
656,2,54,90,55,94,0,20,83,60,68,3.59
657,2,52,83,55,93,1,44,3,,70,2.5
658,2,75,4,89,37,2,,,,86,2.81
659,2,36,34,37,76,1,68,43,,96,3.3
660,0,25,78,19,28,,,,,,
661,2,68,26,43,16,2,,,,91,3.92
662,2,30,27,43,17,2,,,,78,2.7
663,0,43,18,83,70,,,,,,
664,1,63,34,37,7,0,5,18,48,,
665,1,91,66,9,95,2,,,,,
666,2,60,46,84,23,3,,,,97,3.74
667,1,20,17,40,0,2,,,,,
668,0,30,15,20,37,,,,,,
669,2,44,8,93,83,3,,,,70,3.07
670,1,67,57,47,2,0,38,56,13,,
671,0,32,7,36,85,,,,,,
672,2,82,46,79,14,1,19,31,,76,2.67
673,0,99,44,36,61,,,,,,
