@RELATION student_profiles

@ATTRIBUTE profile_id NUMERIC
@ATTRIBUTE education_level NUMERIC
@ATTRIBUTE OL_subject_0_score NUMERIC
@ATTRIBUTE OL_subject_2_score NUMERIC
@ATTRIBUTE OL_subject_3_score NUMERIC
@ATTRIBUTE OL_subject_1_score NUMERIC
@ATTRIBUTE OL_subject_5_score NUMERIC
@ATTRIBUTE OL_subject_4_score NUMERIC
@ATTRIBUTE AL_stream NUMERIC
@ATTRIBUTE AL_subject_0_score NUMERIC
@ATTRIBUTE AL_subject_1_score NUMERIC
@ATTRIBUTE AL_subject_2_score NUMERIC
@ATTRIBUTE university_score NUMERIC
@ATTRIBUTE gpa NUMERIC

@DATA
83, 2, 75, 7, 19, 59, 33, 49, 1, 12, 54, 84, 81, 3.73
84, 2, 69, 13, 37, 6, 77, 77, 2, 64, 51, 17, 84, 3.11
85, 1, 7, 78, 47, 21, 69, 40, 3, 97, 54, 82, null, null
86, 2, 90, 15, 50, 69, 73, 83, 4, 59, 13, 14, 60, 3.09
87, 1, 38, 54, 10, 11, 56, 28, 2, 45, 92, 48, null, null
88, 2, 92, 77, 13, 76, 34, 13, 3, 45, 98, 75, 74, 2.97
89, 1, 78, 78, 43, 41, 10, 50, 3, 83, 83, 27, null, null
90, 0, 48, 53, 80, 77, 92, 30, null, null, null
91, 0, 31, 96, 72, 9, 18, 76, null, null, null
92, 1, 88, 16, 41, 27, 17, 91, 2, 99, 81, 9, null, null
93, 0, 0, 34, 85, 30, 3, 79, null, null, null
94, 2, 51, 60, 13, 43, 50, 45, 1, 61, 72, 61, 83, 3.28
95, 0, 4, 67, 4, 95, 41, 12, null, null, null
96, 2, 1, 98, 28, 12, 72, 38, 4, 92, 96, 27, 74, 3.18
97, 2, 18, 79, 62, 1, 20, 36, 0, 56, 22, 33, 90, 3.48
98, 2, 81, 31, 76, 59, 96, 9, 3, 71, 54, 72, 66, 2.94
99, 2, 30, 90, 5, 91, 46, 43, 3, 11, 0, 53, 87, 3.59
100, 1, 93, 74, 28, 62, 97, 81, 0, 64, 9, 26, null, null
101, 2, 80, 12, 34, 49, 41, 16, 2, 63, 3, 70, 78, 3.25
102, 0, 15, 50, 31, 92, 36, 24, null, null, null
103, 1, 3, 35, 87, 41, 64, 89, 0, 30, 26, 97, null, null
104, 1, 43, 41, 33, 85, 94, 31, 3, 42, 79, 69, null, null
105, 0, 68, 71, 80, 67, 65, 93, null, null, null
106, 2, 24, 52, 64, 26, 76, 47, 1, 33, 7, 87, 95, 3.41
107, 2, 88, 23, 35, 24, 33, 96, 1, 82, 47, 32, 91, 3.35
108, 2, 87, 35, 5, 57, 38, 91, 0, 28, 58, 88, 94, 3.11
109, 1, 53, 77, 45, 55, 28, 17, 0, 19, 58, 58, null, null
110, 2, 1, 30, 95, 15, 69, 13, 4, 94, 30, 58, 83, 3.52
111, 2, 18, 74, 42, 80, 55, 26, 3, 74, 78, 25, 88, 3.43
112, 1, 42, 96, 5, 61, 66, 75, 0, 70, 66, 74, null, null
113, 2, 65, 23, 41, 19, 77, 61, 4, 85, 41, 71, 74, 3.13
114, 2, 49, 97, 3, 82, 14, 44, 1, 40, 56, 80, 72, 3.11
115, 1, 6, 87, 15, 1, 61, 65, 1, 27, 17, 62, null, null
116, 2, 0, 73, 55, 36, 65, 97, 2, 5, 94, 67, 84, 3.46
117, 2, 68, 98, 35, 3, 32, 30, 1, 32, 9, 30, 74, 2.89
118, 0, 35, 17, 63, 35, 14, 38, null, null, null
119, 2, 70, 86, 56, 89, 63, 81, 4, 3, 33, 51, 81, 2.38
120, 0, 57, 2, 78, 74, 23, 14, null, null, null
121, 1, 68, 16, 28, 43, 52, 70, 0, 9, 24, 76, null, null
122, 0, 86, 45, 29, 57, 50, 86, null, null, null
123, 2, 55, 76, 56, 37, 66, 8, 4, 97, 90, 11, 73, 3.56
124, 1, 12, 77, 88, 30, 44, 30, 2, 45, 54, 49, null, null
125, 0, 16, 49, 37, 23, 17, 16, null, null, null
126, 0, 53, 94, 1, 95, 48, 45, null, null, null
127, 2, 65, 10, 1, 66, 83, 11, 4, 1, 99, 10, 72, 3.33
128, 2, 71, 23, 47, 6, 51, 27, 0, 82, 81, 10, 89, 2.74
129, 1, 93, 56, 47, 37, 43, 77, 4, 87, 97, 74, null, null
130, 0, 18, 22, 15, 29, 96, 83, null, null, null
131, 2, 46, 71, 43, 20, 97, 49, 1, 82, 2, 16, 98, 2.96
132, 0, 3, 47, 88, 74, 57, 48, null, null, null
133, 2, 49, 60, 27, 4, 34, 61, 3, 27, 0, 53, 97, 3.45
134, 1, 57, 58, 42, 76, 40, 76, 4, 11, 78, 34, null, null
135, 0, 88, 36, 88, 80, 35, 93, null, null, null
136, 2, 45, 34, 61, 34, 19, 72, 3, 58, 92, 46, 90, 3.13
137, 2, 35, 31, 86, 83, 1, 51, 1, 5, 43, 53, 90, 2.91
138, 2, 97, 15, 93, 74, 58, 86, 2, 62, 40, 58, 71, 2.83
139, 0, 64, 14, 45, 24, 44, 13, null, null, null
140, 1, 48, 64, 72, 50, 44, 27, 3, 97, 2, 43, null, null
141, 2, 73, 59, 21, 28, 87, 66, 0, 6, 89, 60, 78, 3.31
142, 2, 18, 20, 59, 75, 27, 47, 0, 51, 87, 92, 79, 3.86
143, 2, 43, 90, 48, 85, 46, 76, 4, 91, 24, 11, 91, 2.72
144, 2, 29, 97, 3, 20, 64, 98, 1, 79, 16, 52, 81, 3.96
145, 2, 27, 74, 35, 59, 16, 25, 3, 39, 82, 59, 91, 2.83
146, 2, 2, 85, 48, 86, 11, 43, 2, 53, 20, 29, 70, 3.71
147, 1, 83, 11, 92, 88, 21, 92, 1, 82, 35, 36, null, null
148, 1, 65, 85, 51, 35, 66, 84, 0, 97, 44, 36, null, null
149, 2, 44, 29, 34, 49, 22, 13, 0, 83, 10, 74, 67, 3.17
150, 0, 2, 29, 63, 46, 76, 65, null, null, null
151, 2, 87, 45, 69, 97, 51, 63, 4, 30, 6, 25, 85, 2.99
152, 2, 53, 81, 21, 1, 62, 15, 0, 0, 18, 76, 71, 3.07
153, 1, 76, 1, 2, 50, 15, 58, 4, 95, 26, 82, null, null
154, 2, 19, 39, 87, 21, 45, 38, 1, 73, 29, 71, 92, 3.74
155, 1, 95, 37, 75, 67, 52, 47, 0, 45, 57, 0, null, null
156, 2, 99, 46, 13, 93, 97, 69, 3, 83, 68, 94, 82, 2.58
157, 2, 76, 61, 52, 62, 2, 48, 2, 54, 2, 88, 69, 2.89
158, 2, 45, 28, 26, 70, 1, 2, 2, 15, 83, 62, 90, 3.66
159, 0, 94, 33, 61, 19, 18, 55, null, null, null
160, 2, 22, 75, 3, 62, 24, 27, 0, 28, 20, 80, 94, 2.98
161, 0, 54, 41, 92, 63, 26, 72, null, null, null
162, 1, 5, 29, 71, 74, 34, 78, 0, 1, 86, 78, null, null
163, 2, 80, 58, 95, 64, 36, 38, 2, 10, 54, 64, 73, 4.0
164, 2, 38, 92, 87, 23, 15, 11, 0, 76, 61, 17, 88, 3.65
165, 1, 9, 31, 37, 4, 14, 57, 3, 62, 54, 9, null, null
166, 0, 57, 82, 96, 3, 99, 57, null, null, null
167, 0, 9, 19, 96, 71, 89, 1, null, null, null
168, 0, 91, 32, 7, 15, 98, 74, null, null, null
169, 1, 33, 99, 44, 25, 35, 28, 4, 45, 7, 63, null, null
170, 1, 61, 3, 88, 3, 14, 15, 4, 8, 25, 37, null, null
171, 1, 90, 26, 35, 30, 87, 21, 3, 78, 23, 36, null, null
172, 1, 38, 93, 25, 71, 30, 4, 1, 1, 73, 13, null, null
173, 2, 84, 1, 94, 62, 28, 54, 0, 21, 81, 52, 87, 3.41
174, 0, 80, 28, 44, 70, 7, 40, null, null, null
175, 0, 76, 68, 11, 14, 18, 90, null, null, null
176, 2, 90, 56, 2, 51, 52, 89, 4, 33, 8, 59, 64, 3.26
177, 0, 11, 78, 29, 79, 23, 47, null, null, null
178, 0, 60, 96, 0, 95, 67, 46, null, null, null
179, 1, 77, 48, 86, 60, 36, 41, 2, 76, 28, 22, null, null
180, 2, 54, 43, 68, 57, 36, 56, 3, 75, 26, 54, 64, 3.2
181, 0, 46, 72, 15, 27, 99, 83, null, null, null
182, 0, 56, 27, 12, 35, 67, 45, null, null, null
183, 1, 34, 27, 53, 14, 91, 27, 1, 1, 36, 29, null, null
184, 2, 47, 5, 19, 17, 62, 71, 3, 36, 82, 92, 95, 3.85
185, 2, 21, 58, 58, 54, 10, 83, 4, 42, 25, 17, 93, 3.53
186, 2, 94, 21, 34, 42, 4, 49, 4, 34, 79, 84, 77, 3.01
187, 2, 93, 25, 20, 69, 51, 97, 4, 12, 30, 96, 60, 3.03
188, 0, 84, 14, 9, 32, 69, 26, null, null, null
189, 0, 36, 91, 70, 22, 77, 51, null, null, null
190, 1, 17, 18, 77, 52, 84, 38, 0, 17, 88, 90, null, null
191, 1, 74, 13, 86, 8, 13, 32, 4, 64, 92, 4, null, null
192, 1, 92, 21, 8, 53, 91, 45, 3, 28, 44, 90, null, null
193, 1, 70, 94, 96, 22, 15, 79, 2, 36, 10, 67, null, null
194, 0, 93, 13, 44, 98, 32, 56, null, null, null
195, 0, 59, 13, 80, 45, 8, 77, null, null, null
196, 0, 60, 53, 75, 68, 80, 52, null, null, null
197, 0, 88, 78, 54, 20, 52, 16, null, null, null
198, 0, 34, 51, 27, 23, 51, 69, null, null, null
199, 2, 74, 5, 78, 60, 17, 62, 0, 90, 12, 11, 76, 4.0
200, 2, 24, 69, 38, 64, 22, 64, 0, 29, 76, 60, 72, 3.55
201, 2, 39, 39, 5, 78, 42, 70, 4, 73, 0, 73, 66, 3.65
202, 0, 37, 71, 5, 96, 93, 21, null, null, null
203, 1, 33, 88, 11, 97, 55, 18, 3, 69, 28, 21, null, null
204, 1, 37, 55, 2, 39, 60, 38, 4, 58, 9, 27, null, null
205, 1, 18, 86, 80, 65, 60, 77, 3, 5, 28, 66, null, null
206, 1, 97, 24, 16, 2, 8, 53, 0, 65, 47, 42, null, null
207, 0, 83, 86, 88, 45, 16, 99, null, null, null
208, 0, 98, 96, 24, 55, 73, 99, null, null, null
209, 1, 25, 8, 72, 10, 64, 29, 2, 76, 25, 7, null, null
210, 2, 84, 61, 95, 82, 1, 95, 3, 48, 57, 73, 98, 2.81
211, 2, 62, 89, 56, 76, 79, 81, 1, 15, 20, 66, 89, 3.47
212, 1, 74, 55, 50, 35, 11, 91, 2, 55, 29, 17, null, null
213, 0, 67, 20, 74, 41, 52, 50, null, null, null
214, 1, 80, 47, 59, 89, 12, 53, 3, 98, 57, 60, null, null
215, 2, 16, 27, 47, 89, 45, 32, 0, 8, 25, 85, 91, 2.03
216, 2, 92, 20, 60, 51, 28, 53, 1, 91, 23, 81, 65, 3.14
217, 0, 98, 48, 67, 76, 11, 15, null, null, null
218, 0, 11, 0, 33, 40, 45, 21, null, null, null
219, 0, 58, 60, 34, 40, 71, 18, null, null, null
220, 2, 25, 50, 19, 70, 64, 41, 3, 31, 79, 0, 63, 3.43
221, 0, 13, 31, 60, 89, 53, 82, null, null, null
222, 1, 52, 59, 4, 28, 85, 71, 0, 98, 21, 23, null, null
223, 1, 97, 67, 47, 82, 84, 79, 1, 49, 79, 90, null, null
224, 1, 78, 19, 53, 4, 22, 14, 4, 51, 88, 78, null, null
225, 2, 67, 80, 62, 12, 41, 83, 4, 69, 15, 87, 75, 2.8
226, 2, 35, 64, 2, 18, 18, 69, 3, 84, 54, 14, 65, 2.88
227, 0, 84, 19, 91, 33, 60, 10, null, null, null
228, 1, 35, 70, 28, 29, 16, 96, 4, 25, 35, 70, null, null
229, 2, 23, 86, 2, 57, 34, 40, 0, 74, 82, 75, 98, 3.77
230, 1, 86, 71, 3, 40, 39, 64, 0, 9, 93, 16, null, null
231, 2, 51, 91, 38, 59, 11, 48, 4, 71, 61, 82, 66, 2.61
232, 1, 36, 1, 85, 21, 48, 50, 3, 11, 10, 39, null, null
233, 1, 63, 15, 85, 29, 36, 45, 4, 65, 75, 40, null, null
234, 1, 88, 8, 20, 42, 76, 26, 3, 15, 74, 31, null, null
235, 2, 6, 91, 99, 75, 75, 51, 2, 85, 59, 76, 81, 2.75
236, 0, 38, 27, 87, 38, 89, 7, null, null, null
237, 0, 79, 9, 47, 2, 52, 23, null, null, null
238, 0, 75, 54, 62, 13, 26, 78, null, null, null
239, 0, 68, 64, 32, 50, 27, 47, null, null, null
240, 2, 2, 61, 0, 99, 40, 10, 1, 8, 23, 20, 67, 2.55
241, 0, 84, 85, 14, 35, 95, 2, null, null, null
242, 2, 97, 31, 10, 5, 10, 37, 0, 98, 46, 69, 97, 3.47
243, 2, 83, 94, 56, 87, 8, 0, 0, 37, 78, 47, 79, 2.95
244, 2, 60, 33, 68, 4, 60, 15, 2, 19, 97, 42, 78, 3.41
245, 1, 1, 18, 72, 6, 94, 49, 2, 79, 54, 76, null, null
246, 2, 74, 24, 9, 87, 7, 83, 2, 17, 31, 97, 96, 3.22
247, 1, 0, 65, 15, 95, 87, 22, 0, 58, 56, 79, null, null
248, 2, 39, 33, 5, 84, 45, 74, 1, 21, 65, 53, 86, 3.19
249, 1, 8, 40, 52, 75, 85, 88, 3, 46, 6, 41, null, null
250, 0, 47, 66, 13, 91, 11, 66, null, null, null
251, 0, 41, 68, 57, 85, 61, 47, null, null, null
252, 0, 98, 54, 84, 63, 14, 80, null, null, null
253, 2, 49, 20, 17, 60, 96, 44, 3, 23, 1, 98, 67, 2.95
254, 1, 7, 67, 45, 47, 98, 83, 1, 60, 51, 43, null, null
255, 2, 82, 8, 85, 27, 94, 91, 0, 90, 17, 36, 79, 2.79
256, 1, 88, 43, 36, 6, 47, 58, 2, 85, 55, 2, null, null
257, 1, 33, 28, 17, 17, 31, 22, 0, 6, 82, 65, null, null
258, 1, 3, 41, 76, 25, 5, 59, 3, 35, 7, 33, null, null
259, 2, 76, 85, 69, 60, 86, 63, 2, 90, 49, 44, 78, 2.32
260, 2, 73, 22, 48, 82, 51, 53, 0, 41, 77, 67, 67, 3.68
261, 2, 88, 2, 90, 46, 56, 27, 2, 76, 52, 94, 71, 3.75
262, 2, 49, 44, 27, 69, 36, 12, 2, 95, 22, 2, 60, 2.98
263, 1, 86, 60, 75, 39, 15, 68, 3, 96, 72, 66, null, null
264, 0, 49, 86, 21, 73, 62, 69, null, null, null
265, 0, 36, 89, 66, 81, 27, 77, null, null, null
266, 0, 43, 99, 53, 10, 70, 88, null, null, null
267, 1, 52, 45, 17, 14, 5, 54, 0, 75, 62, 62, null, null
268, 0, 92, 70, 8, 43, 76, 1, null, null, null
269, 0, 74, 24, 0, 34, 39, 37, null, null, null
270, 2, 51, 89, 80, 80, 80, 4, 3, 95, 55, 88, 89, 3.54
271, 2, 96, 47, 17, 93, 91, 77, 0, 2, 91, 90, 97, 3.61
272, 1, 66, 5, 87, 1, 26, 23, 0, 24, 73, 15, null, null
273, 0, 82, 31, 40, 94, 40, 77, null, null, null
274, 2, 35, 17, 60, 72, 10, 35, 1, 93, 99, 21, 86, 3.5
275, 2, 99, 86, 31, 48, 17, 34, 4, 9, 2, 18, 70, 3.27
276, 0, 38, 60, 3, 6, 3, 8, null, null, null
277, 0, 34, 4, 60, 9, 48, 85, null, null, null
278, 1, 32, 42, 8, 55, 6, 89, 0, 35, 10, 78, null, null
279, 0, 55, 17, 54, 26, 95, 99, null, null, null
280, 0, 89, 87, 37, 45, 83, 16, null, null, null
281, 2, 73, 10, 77, 19, 60, 32, 3, 71, 3, 58, 89, 3.07
282, 2, 83, 78, 11, 88, 12, 31, 4, 19, 80, 71, 85, 2.57
283, 0, 78, 88, 10, 98, 76, 63, null, null, null
284, 1, 99, 20, 17, 56, 3, 58, 4, 23, 41, 81, null, null
285, 0, 38, 1, 36, 37, 59, 90, null, null, null
286, 2, 11, 62, 24, 25, 69, 65, 0, 29, 34, 91, 99, 2.42
287, 1, 54, 45, 66, 35, 84, 49, 4, 51, 68, 83, null, null
288, 2, 55, 80, 61, 21, 14, 6, 4, 64, 58, 71, 95, 3.14
289, 0, 66, 24, 85, 92, 38, 9, null, null, null
290, 0, 97, 10, 96, 90, 59, 5, null, null, null
291, 1, 30, 66, 92, 19, 90, 53, 1, 81, 33, 82, null, null
292, 2, 57, 50, 72, 86, 16, 41, 4, 76, 69, 50, 99, 3.37
293, 2, 89, 73, 74, 99, 41, 61, 0, 65, 44, 41, 74, 3.07
294, 2, 97, 41, 18, 26, 81, 81, 1, 41, 74, 32, 62, 3.23
295, 0, 68, 13, 53, 28, 51, 65, null, null, null
296, 1, 26, 99, 68, 80, 10, 98, 1, 21, 71, 25, null, null
297, 0, 44, 40, 37, 75, 48, 10, null, null, null
298, 1, 31, 17, 12, 75, 86, 39, 4, 65, 35, 57, null, null
299, 2, 57, 38, 70, 4, 92, 58, 3, 27, 94, 98, 93, 3.24
300, 0, 51, 88, 58, 20, 75, 47, null, null, null
301, 0, 88, 24, 40, 29, 34, 9, null, null, null
302, 0, 67, 85, 68, 60, 1, 28, null, null, null
303, 0, 96, 25, 28, 52, 3, 61, null, null, null
304, 0, 91, 73, 89, 82, 77, 13, null, null, null
305, 2, 26, 30, 4, 14, 54, 96, 3, 39, 97, 6, 96, 3.24
306, 2, 2, 68, 8, 43, 69, 58, 1, 76, 41, 84, 99, 4.0
307, 0, 96, 55, 28, 17, 23, 8, null, null, null
308, 1, 3, 44, 51, 83, 43, 34, 4, 40, 34, 96, null, null
309, 0, 83, 33, 42, 78, 93, 61, null, null, null
310, 1, 34, 48, 99, 38, 71, 87, 3, 9, 88, 24, null, null
311, 0, 37, 1, 47, 36, 92, 12, null, null, null
312, 1, 46, 72, 47, 30, 84, 68, 1, 12, 48, 50, null, null
313, 0, 33, 6, 27, 85, 68, 30, null, null, null
314, 1, 49, 29, 2, 13, 64, 58, 0, 17, 68, 82, null, null
315, 1, 16, 78, 0, 53, 54, 81, 0, 19, 33, 28, null, null
316, 2, 62, 39, 78, 52, 90, 39, 2, 72, 16, 63, 97, 3.05
317, 1, 92, 16, 75, 10, 97, 43, 0, 81, 72, 25, null, null
318, 1, 87, 51, 43, 4, 5, 25, 0, 72, 49, 38, null, null
319, 0, 85, 28, 61, 53, 14, 42, null, null, null
320, 0, 84, 64, 58, 18, 72, 94, null, null, null
321, 1, 50, 11, 35, 44, 68, 70, 4, 24, 10, 18, null, null
322, 1, 38, 61, 45, 38, 21, 73, 3, 30, 67, 10, null, null
323, 0, 99, 64, 75, 39, 2, 13, null, null, null
324, 2, 54, 44, 59, 68, 77, 54, 3, 81, 59, 40, 68, 2.92
325, 1, 74, 33, 65, 71, 44, 9, 1, 87, 45, 59, null, null
326, 2, 84, 86, 22, 23, 55, 88, 0, 24, 90, 68, 73, 3.51
327, 0, 43, 13, 91, 98, 36, 10, null, null, null
328, 2, 12, 18, 97, 9, 56, 31, 0, 89, 78, 47, 87, 3.28
329, 0, 1, 9, 97, 50, 87, 45, null, null, null
330, 0, 4, 62, 77, 23, 86, 27, null, null, null
331, 0, 14, 69, 21, 16, 98, 39, null, null, null
332, 0, 61, 52, 15, 39, 54, 35, null, null, null
333, 0, 90, 48, 72, 76, 14, 43, null, null, null
334, 0, 14, 83, 28, 65, 3, 89, null, null, null
335, 0, 54, 49, 35, 25, 5, 24, null, null, null
336, 0, 24, 48, 2, 22, 2, 52, null, null, null
337, 1, 54, 72, 89, 53, 34, 31, 1, 9, 49, 62, null, null
338, 0, 1, 29, 72, 15, 49, 49, null, null, null
339, 1, 49, 20, 29, 88, 71, 8, 0, 38, 35, 6, null, null
340, 1, 78, 80, 49, 44, 61, 90, 1, 27, 62, 49, null, null
341, 1, 72, 28, 37, 83, 85, 89, 3, 39, 33, 60, null, null
342, 0, 68, 67, 36, 80, 0, 33, null, null, null
343, 0, 60, 64, 10, 44, 56, 0, null, null, null
344, 2, 5, 41, 50, 17, 73, 29, 1, 39, 90, 52, 73, 3.35
345, 0, 89, 32, 93, 65, 19, 33, null, null, null
346, 2, 58, 73, 88, 82, 87, 15, 3, 15, 87, 29, 64, 2.94
347, 2, 0, 11, 81, 20, 56, 25, 1, 94, 73, 91, 83, 2.74
348, 1, 69, 43, 77, 93, 57, 69, 1, 28, 33, 7, null, null
349, 2, 91, 97, 68, 11, 52, 49, 1, 38, 24, 71, 76, 2.97
350, 2, 18, 53, 97, 92, 48, 50, 1, 90, 69, 58, 65, 2.39
351, 0, 67, 57, 33, 74, 32, 54, null, null, null
352, 0, 19, 69, 55, 99, 57, 50, null, null, null
353, 0, 81, 46, 3, 48, 58, 74, null, null, null
354, 1, 24, 59, 39, 93, 26, 59, 0, 82, 86, 44, null, null
355, 2, 59, 97, 85, 97, 99, 82, 2, 6, 92, 19, 83, 3.87
356, 0, 81, 59, 40, 90, 52, 91, null, null, null
357, 0, 68, 94, 35, 54, 52, 95, null, null, null
358, 1, 71, 81, 99, 23, 79, 56, 4, 2, 53, 29, null, null
